time,open,high,low,close,200 EMA,Volume,Volume MA 20,MACD,Signal Line,Histogram,Cross
1600362000,123.936,123.959,123.897,123.9,124.6200301,3909,10750.7,0.043984826,-0.030480555,0.074465381,NaN
1600363800,123.9,123.981,123.89,123.953,124.613393,4324,10343.95,0.057370031,-0.012967515,0.070337545,NaN
1600365600,123.953,124.055,123.953,123.98,124.6070905,6236,10090.25,0.069357071,0.003817419,0.065539652,NaN
1600367400,123.98,124.003,123.932,123.948,124.6005324,4677,9963.15,0.075405526,0.020780156,0.05462537,NaN
1600369200,123.948,124.051,123.912,124.026,124.5948157,5849,9819.5,0.085507244,0.037298892,0.048208353,NaN
1600371000,124.026,124.087,124.02,124.04,124.5892951,4734,9714.85,0.093564063,0.051225169,0.042338894,NaN
1600372800,124.04,124.092,124.023,124.043,124.5838594,2910,9498.7,0.099049445,0.063076841,0.035972604,NaN
1600374600,124.043,124.136,124.042,124.102,124.5790647,1547,9220.25,0.106924893,0.07364668,0.033278213,NaN
1600376400,124.102,124.107,124.015,124.032,124.5736213,216,8493.65,0.106292553,0.081939517,0.024353036,NaN
1600378200,124.032,124.083,124.025,124.07,124.5686102,1304,8120.65,0.107617157,0.089009776,0.018607382,NaN
1600380000,124.07,124.152,124.044,124.14,124.5643454,2472,7700.85,0.113012592,0.095192283,0.01782031,NaN
1600381800,124.14,124.149,124.113,124.134,124.5600633,1491,7251.85,0.11547326,0.100316304,0.015156956,NaN
1600383600,124.134,124.165,124.117,124.148,124.5559632,1455,6679.3,0.117202007,0.104960357,0.01224165,NaN
1600385400,124.148,124.155,124.036,124.036,124.5507894,2517,5856.5,0.108286331,0.107491367,0.000794964,NaN
1600387200,124.036,124.312,124.035,124.173,124.5470303,9449,5515.1,0.110995857,0.109428233,0.001567624,NaN
1600389000,124.173,124.236,124.142,124.172,124.5432987,7363,4780.5,0.111774023,0.110842075,0.000931948,NaN
1600390800,124.172,124.218,124.124,124.181,124.5396937,6812,4468.55,0.111827868,0.11138685,0.000441018,NaN
1600392600,124.181,124.238,124.128,124.186,124.5361744,6103,4288.6,0.110994523,0.111909291,-0.000914768,0.111909291
1600394400,124.186,124.23,124.132,124.222,124.5330483,4680,4217.35,0.111948517,0.112390553,-0.000442036,NaN
1600396200,124.222,124.25,124.182,124.219,124.5299234,3570,4080.9,0.111180866,0.112187028,-0.001006162,NaN
1600398000,124.219,124.244,124.205,124.225,124.5268894,2729,4021.9,0.109791044,0.111555671,-0.001764627,NaN
1600399800,124.225,124.247,124.209,124.217,124.5238059,2228,3917.1,0.106812795,0.110401314,-0.003588519,NaN
1600401600,124.217,124.224,124.166,124.17,124.5202854,2502,3730.4,0.099512882,0.109426486,-0.009913604,NaN
1600403400,124.17,124.218,124.164,124.183,124.5169294,2542,3623.65,0.093696564,0.107504343,-0.013807779,NaN
1600405200,124.183,124.238,124.175,124.235,124.5141241,2445,3453.45,0.09222,0.105331673,-0.013111673,NaN
1600407000,124.235,124.26,124.18,124.23,124.511297,3565,3395,0.089613348,0.102863393,-0.013250045,NaN
1600408800,124.23,124.257,124.186,124.222,124.5084184,5364,3517.7,0.085911688,0.100076412,-0.014164724,NaN
1600410600,124.222,124.274,124.207,124.234,124.5056879,5942,3737.45,0.082989741,0.09685877,-0.013869029,NaN
1600412400,124.234,124.246,123.982,124.068,124.5013328,10300,4241.65,0.066512549,0.091895623,-0.025383074,NaN
1600414200,124.068,124.079,123.884,123.916,124.4955086,7664,4559.65,0.040719735,0.084221034,-0.043501299,NaN
1600416000,123.916,123.99,123.808,123.986,124.4904388,6641,4768.1,0.025631692,0.075200911,-0.049569219,NaN
1600417800,123.986,124.002,123.826,123.901,124.4845738,7643,5075.7,0.00673785,0.064892574,-0.058154724,NaN
1600419600,123.901,123.981,123.893,123.903,124.478787,5696,5287.75,-0.007982258,0.053594927,-0.061577185,NaN
1600421400,123.903,123.912,123.642,123.652,124.4705602,7963,5560.05,-0.039446932,0.038965268,-0.0784122,NaN
1600423200,123.652,123.656,123.518,123.606,124.4619576,7227,5448.95,-0.067318721,0.021528371,-0.088847092,NaN
1600425000,123.606,123.613,123.48,123.54,124.4527839,7021,5431.85,-0.093653384,0.001576697,-0.095230081,NaN
