time,open,high,low,close,200 EMA,MACD,Signal Line,Histogram,Cross,Close Above 200 EMA,Close Below 200 EMA,MACD under zero,MACD over zero,Close Up Relative to Yesterday,Close Down Relative to Yesterday
1250629200,133.815,134.515,132.176,133.778,133.8182462,0.14455276,0.736527471,-0.591974711,0,0,1,,,,
1250715600,133.778,134.625,133.407,134.239,133.8224329,0.076130978,0.625656236,-0.549525258,0,1,0,,,,
1250802000,134.239,135.473,132.899,135.212,133.8362594,0.099274813,0.512861703,-0.41358689,0,1,0,,,,
1251061200,135.212,136.09,134.985,135.226,133.8500877,0.117392919,0.413734925,-0.296342006,0,1,0,,,,
1251147600,135.226,135.885,133.955,134.632,133.8578679,0.08286559,0.317547134,-0.234681544,0,1,0,,,,
1251234000,134.632,135.131,133.907,134.334,133.8626055,0.031097847,0.220007254,-0.188909407,0,1,0,,,,
1251320400,134.334,134.45,132.917,134.094,133.8649079,-0.028960616,0.1374104,-0.166371016,0,1,0,,,,
1251406800,134.094,135.015,133.67,133.802,133.864282,-0.09897838,0.077788371,-0.176766751,0,0,1,,,,
1251666000,133.802,133.85,132.15,133.441,133.8600702,-0.181505364,0.026874505,-0.208379869,0,0,1,,,,
1251752400,133.441,134.15,131.851,132.131,133.8428656,-0.348596245,-0.027919829,-0.320676416,0,0,1,,,,
1251838800,132.131,132.52,131.025,131.505,133.8196032,-0.525472619,-0.094764673,-0.430707946,0,0,1,,,,
1251925200,131.505,132.562,131.155,131.989,133.8013883,-0.619452996,-0.174623318,-0.444829678,0,0,1,,,,
1252011600,131.989,133.245,131.684,133.03,133.7937127,-0.602982317,-0.254665011,-0.348317306,0,0,1,,,,
1252270800,133.03,133.876,132.839,133.376,133.7895564,-0.555605206,-0.325606211,-0.229998996,0,0,1,,,,
1252357200,133.376,133.863,132.814,133.634,133.7880086,-0.491573507,-0.383680806,-0.107892702,0,0,1,,,,
1252443600,133.634,134.405,133.578,133.947,133.7895906,-0.410835584,-0.426111358,0.015275774,1,1,0,,,,
1252530000,133.947,134.38,133.31,133.726,133.7889578,-0.360527118,-0.455172329,0.09464521,0,0,1,,,,
1252616400,133.726,133.84,131.555,132.19,133.7730478,-0.439532997,-0.483842066,0.044309068,0,0,1,,,,
1252875600,132.19,133.071,131.301,132.901,133.7643707,-0.439705318,-0.493965296,0.054259978,0,0,1,,,,
1252962000,132.901,133.772,132.784,133.406,133.7608048,-0.394544541,-0.479417732,0.084873191,0,0,1,,,,
1253048400,133.406,134.03,132.465,133.718,133.7603789,-0.329777042,-0.447231515,0.117454472,0,0,1,,,,
1253134800,133.718,134.803,133.416,134.243,133.7651811,-0.233394791,-0.406166234,0.172771443,0,1,0,,,,
